8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,1.21474678682331 - 0.773020682523926i,,1.21474678682331 - 0.773020682523926i,,-0.00931010246310643 + 0.0115675355058730i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,1.21474678682331 + 0.110431526074847i,,1.21474678682331 + 0.110431526074847i,,-0.00685595337294116 - 0.0221095566654940i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.773020682523926 + 0.552157630374233i,,0.773020682523926 + 0.552157630374233i,,-0.00806989604982482 - 0.0164808725837835i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.552157630374233 - 0.993883734673619i,,0.552157630374233 - 0.993883734673619i,,0.0217327428708670 + 0.0124873795863027i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,0.0425381939581193 - 0.00341526457331866i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.331294578224540 + 0.773020682523926i,,0.331294578224540 + 0.773020682523926i,,0.0234631570704083 - 0.00451053077693042i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.331294578224540 + 0.993883734673619i,,-0.331294578224540 + 0.993883734673619i,,-0.00157313040458042 - 0.00455630595727058i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.552157630374233 + 0.773020682523926i,,-0.552157630374233 + 0.773020682523926i,,-0.00745408908264710 - 0.0129264576176077i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.110431526074847 - 0.993883734673619i,,0.110431526074847 - 0.993883734673619i,,0.0246812756202812 + 0.0315810628980761i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,-1.21474678682331 + 0.773020682523926i,,-1.21474678682331 + 0.773020682523926i,,0.0420892420816834 + 0.0432351785639224i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.110431526074847 - 0.552157630374233i,,-0.110431526074847 - 0.552157630374233i,,0.00235277053291042 - 0.0110726385833851i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,1.21474678682331 + 0.110431526074847i,,1.21474678682331 + 0.110431526074847i,,-0.00914530024972606 - 0.00801649844837327i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.331294578224540 - 0.331294578224540i,,-0.331294578224540 - 0.331294578224540i,,0.0120592513170110 + 0.0244146960721811i
0.408248290463863 - 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.993883734673619 - 0.110431526074847i,,-0.993883734673619 - 0.110431526074847i,,-0.00378859674275469 + 0.00330680082177523i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,-1.21474678682331 + 0.331294578224540i,,-1.21474678682331 + 0.331294578224540i,,-0.0102683250729372 - 0.0188304895464863i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.993883734673619 - 0.773020682523926i,,0.993883734673619 - 0.773020682523926i,,0.0111123058147356 - 0.0100923766320041i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.110431526074847 - 0.552157630374233i,,-0.110431526074847 - 0.552157630374233i,,0.0118271167331771 + 0.00676754551703864i
0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,-0.0111855060021537 + 0.0139911666000940i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.110431526074847 - 0.552157630374233i,,0.110431526074847 - 0.552157630374233i,,-0.0472331972152017 - 0.00680272815921394i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.773020682523926 - 0.331294578224540i,,0.773020682523926 - 0.331294578224540i,,-0.0428335779583618 - 0.0357475571621661i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-1.21474678682331 - 0.110431526074847i,,-1.21474678682331 - 0.110431526074847i,,0.0104320072053314 - 0.0300129738809074i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,1.21474678682331 + 0.110431526074847i,,1.21474678682331 + 0.110431526074847i,,0.0163089237230325 + 0.0111181553505263i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,0.552157630374233 - 0.993883734673619i,,0.552157630374233 - 0.993883734673619i,,-0.00204371761006452 + 0.0234728926750644i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,-0.552157630374233 + 1.21474678682331i,,-0.552157630374233 + 1.21474678682331i,,0.0108722645506681 - 0.0215367905067382i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.993883734673619 + 0.331294578224540i,,0.993883734673619 + 0.331294578224540i,,0.00113094206567907 - 0.0343294958838226i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-0.110431526074847 - 0.993883734673619i,,-0.110431526074847 - 0.993883734673619i,,0.0105746358640100 - 0.00438015759202985i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.110431526074847 + 0.993883734673619i,,-0.110431526074847 + 0.993883734673619i,,0.0513574047118884 - 0.0194398037135661i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.773020682523926 + 0.110431526074847i,,-0.773020682523926 + 0.110431526074847i,,0.0195830854432750 - 0.0245228164390678i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,-0.0184952682328356 + 0.0100534762671184i
0.408248290463863 - 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,-1.21474678682331 - 0.110431526074847i,,-1.21474678682331 - 0.110431526074847i,,-0.00415179952683717 - 0.00306731863478215i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-0.110431526074847 - 0.331294578224540i,,-0.110431526074847 - 0.331294578224540i,,-0.0318906225890020 + 0.00166816892324659i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.993883734673619 + 0.552157630374233i,,-0.993883734673619 + 0.552157630374233i,,-0.0564854765042002 + 0.0568967358564650i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.331294578224540 + 0.993883734673619i,,0.331294578224540 + 0.993883734673619i,,-0.0242090807585386 + 0.0336489471499697i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,0.331294578224540 - 0.331294578224540i,,0.331294578224540 - 0.331294578224540i,,-0.00601359025004921 - 0.0225849873852539i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,1.21474678682331 + 0.331294578224540i,,1.21474678682331 + 0.331294578224540i,,0.00920762100754038 - 0.0223697006392438i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.110431526074847 + 0.993883734673619i,,-0.110431526074847 + 0.993883734673619i,,0.0125482344065749 - 0.0337471292906978i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.993883734673619 - 0.552157630374233i,,-0.993883734673619 - 0.552157630374233i,,-0.0178363205829086 - 0.0412005780864417i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-1.21474678682331 + 0.110431526074847i,,-1.21474678682331 + 0.110431526074847i,,0.00699498373601890 - 0.00594129748130582i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,0.552157630374233 - 0.331294578224540i,,0.552157630374233 - 0.331294578224540i,,0.0377770592541833 + 0.0148852279455295i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.993883734673619 + 0.773020682523926i,,0.993883734673619 + 0.773020682523926i,,-0.0136380450912066 + 0.0204765951232192i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,0.331294578224540 + 0.110431526074847i,,0.331294578224540 + 0.110431526074847i,,-0.0298539573163209 + 0.0183205506262757i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.552157630374233 - 0.110431526074847i,,0.552157630374233 - 0.110431526074847i,,0.00755420071311482 + 0.0102051421529786i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.110431526074847 - 1.21474678682331i,,-0.110431526074847 - 1.21474678682331i,,-0.000525338257442463 + 0.0323067747886181i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,0.993883734673619 + 0.110431526074847i,,0.993883734673619 + 0.110431526074847i,,-0.00623131587981978 + 0.0341154642981568i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,0.0131059587157057 - 0.000377129329505066i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.773020682523926 - 0.110431526074847i,,0.773020682523926 - 0.110431526074847i,,0.00539544530700824 + 0.000934200264576385i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.993883734673619 - 0.110431526074847i,,-0.993883734673619 - 0.110431526074847i,,0.00137822971662637 + 0.00129875940884930i
-0.408248290463863 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.993883734673619 - 0.552157630374233i,,-0.993883734673619 - 0.552157630374233i,,0.0117460304444418 - 0.0163502078894613i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.552157630374233 + 1.21474678682331i,,0.552157630374233 + 1.21474678682331i,,0.00304571277455197 + 0.00364367590011281i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.331294578224540 + 1.21474678682331i,,-0.331294578224540 + 1.21474678682331i,,-0.00729909753805419 + 0.0134001973908554i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.110431526074847 + 1.21474678682331i,,-0.110431526074847 + 1.21474678682331i,,0.00438414010227151 + 0.00997121391612062i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.110431526074847 - 0.110431526074847i,,-0.110431526074847 - 0.110431526074847i,,0.0222761675708469 + 0.0338444997558250i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.331294578224540 - 0.552157630374233i,,0.331294578224540 - 0.552157630374233i,,0.00799211753271384 + 0.0124346302778163i
-0.408248290463863 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,-0.773020682523926 + 0.773020682523926i,,-0.773020682523926 + 0.773020682523926i,,-0.0143146921276998 - 0.0250002108430856i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.331294578224540 - 0.552157630374233i,,-0.331294578224540 - 0.552157630374233i,,0.0183926781313379 + 0.000803071573145651i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.331294578224540 + 0.993883734673619i,,0.331294578224540 + 0.993883734673619i,,0.0358937315370588 - 0.00418364516622276i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.773020682523926 + 0.331294578224540i,,0.773020682523926 + 0.331294578224540i,,-0.0198935209363340 - 0.0545430323017157i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.331294578224540 + 0.110431526074847i,,-0.331294578224540 + 0.110431526074847i,,-0.00332786459405207 - 0.0340673152898029i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,-0.0256178478733333 - 0.00375693283476461i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,-0.110431526074847 + 0.110431526074847i,,-0.110431526074847 + 0.110431526074847i,,0.00323604345603981 + 0.0263944749568979i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.110431526074847 - 0.552157630374233i,,0.110431526074847 - 0.552157630374233i,,-0.00952752446843360 + 0.0187878392391329i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.331294578224540 + 0.552157630374233i,,0.331294578224540 + 0.552157630374233i,,-0.0215303096223638 + 0.0132215294723451i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-1.21474678682331 - 0.331294578224540i,,-1.21474678682331 - 0.331294578224540i,,0.0112960904788291 + 0.00667122772140102i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.773020682523926 - 0.331294578224540i,,0.773020682523926 - 0.331294578224540i,,0.0118916847087674 + 0.0232207825996664i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-0.331294578224540 - 0.773020682523926i,,-0.331294578224540 - 0.773020682523926i,,0.000345888551164643 + 0.0277173984672974i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.993883734673619 + 0.331294578224540i,,0.993883734673619 + 0.331294578224540i,,0.00599644018546844 - 0.0228795811136309i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.110431526074847 - 0.773020682523926i,,0.110431526074847 - 0.773020682523926i,,-0.00443350537021936 - 0.0205840548047790i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.773020682523926 + 0.552157630374233i,,0.773020682523926 + 0.552157630374233i,,-0.00257798197975990 + 0.0290406384266187i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,-0.552157630374233 - 0.552157630374233i,,-0.552157630374233 - 0.552157630374233i,,0.00946831369478069 + 0.00921818264406616i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.110431526074847 + 0.552157630374233i,,0.110431526074847 + 0.552157630374233i,,0.00794279295394133 - 0.0210602995809999i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,1.21474678682331 - 0.552157630374233i,,1.21474678682331 - 0.552157630374233i,,0.0187838580522710 - 0.0203544092545804i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.773020682523926 - 0.552157630374233i,,-0.773020682523926 - 0.552157630374233i,,0.0160711023586053 - 0.0321602159982412i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.331294578224540 - 0.331294578224540i,,-0.331294578224540 - 0.331294578224540i,,-0.00796883752362259 - 0.0217238667411232i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,0.773020682523926 - 0.331294578224540i,,0.773020682523926 - 0.331294578224540i,,-0.00861550462624137 - 0.0226016535224838i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.110431526074847 - 0.331294578224540i,,0.110431526074847 - 0.331294578224540i,,-0.0102883084166498 - 0.0567458258672116i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,-0.0220970869120796 - 0.0165728151840597i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.993883734673619 + 0.773020682523926i,,-0.993883734673619 + 0.773020682523926i,,-0.0103766702423421 + 0.0397409880840064i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.552157630374233 + 1.21474678682331i,,-0.552157630374233 + 1.21474678682331i,,0.00727958855953058 - 0.00730943307248209i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.331294578224540 - 0.331294578224540i,,0.331294578224540 - 0.331294578224540i,,0.0186903641522696 - 0.0417266203058723i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,0.0186839408639585 + 0.00213070720127685i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,-0.110431526074847 + 0.110431526074847i,,-0.110431526074847 + 0.110431526074847i,,0.000842715570868008 + 0.00674938279688447i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.773020682523926 + 0.331294578224540i,,-0.773020682523926 + 0.331294578224540i,,0.00152954800994034 - 0.0295062659586259i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,0.993883734673619 - 0.331294578224540i,,0.993883734673619 - 0.331294578224540i,,0.0101121784032448 - 0.0175359931287512i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.773020682523926 - 0.110431526074847i,,-0.773020682523926 - 0.110431526074847i,,-0.00300587428445636 + 0.0143335086247400i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,0.00109391723964796 + 0.0151981386917102i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,1.21474678682331 - 0.110431526074847i,,1.21474678682331 - 0.110431526074847i,,0.0217165246395733 + 0.0144088099842828i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,0.0289908408351249 + 0.00848466855708613i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,0.331294578224540 + 0.331294578224540i,,0.331294578224540 + 0.331294578224540i,,0.0304424968086774 - 0.0202165920145531i
